IIS3DWB 3-axis accelerometer by STM32
Configuration: FIFO continuous mode WTM = 20 Sensibility = +-4g
Timestamp resolution = 12.5us/LSB accel resolution 0.122mg/LSB

Timestamp(us) accelX(mg) accelY(mg) accelZ(mg)
128546.6843 504 -754 7724 
128701.5545 688 -573 7838 
128856.4247 485 -606 7868 
129011.2949 473 -795 8088 
129166.1651 635 -632 7941 
129321.0353 414 -743 7983 
129475.9055 515 -625 7812 
129630.7757 609 -684 7766 
129785.6459 466 -884 7907 
129940.5161 458 -692 8024 
130095.3863 466 -743 7812 
130250.2565 425 -769 7934 
130405.1267 458 -621 8013 
130559.9969 538 -736 7869 
130714.8671 538 -858 7918 
130869.7373 380 -836 8062 
131024.6075 444 -662 7982 
131179.4777 417 -662 7780 
131334.3479 312 -603 8024 
131489.218 508 -758 7819 
131644.0882 300 -595 7849 
131798.9584 410 -814 7910 
131953.8286 470 -529 7693 
132108.6988 402 -858 7940 
132263.569 402 -744 7921 
132418.4392 496 -721 7974 
132573.3094 639 -714 7678 
132728.1796 368 -751 7822 
132883.0498 553 -596 7922 
133037.92 368 -806 7842 
133192.7902 545 -703 7925 
133347.6604 368 -766 7868 
133502.5306 481 -643 7860 
133657.4008 523 -647 8096 
133812.271 402 -744 7921 
133967.1412 334 -684 7784 
134122.0114 428 -758 7925 
134276.8816 545 -581 7705 
134431.7518 481 -751 8008 
134586.622 466 -769 7906 
134741.4922 519 -728 7868 
134896.3624 598 -710 7853 
135051.2326 447 -717 8016 
135206.1027 504 -725 8005 
135360.9729 421 -669 7800 
135515.8431 481 -817 7823 
135670.7133 421 -677 7968 
135825.5835 545 -728 7831 
135980.4537 432 -751 7816 
136135.3239 451 -773 7937 
136290.1941 508 -740 7884 
136445.0643 387 -769 7850 
136599.9345 586 -654 7861 
136754.8047 541 -662 7880 
136909.6749 515 -673 7790 
137064.5451 544 -777 7816 
137219.4153 439 -784 7918 
137374.2855 420 -695 7793 
137529.1557 650 -718 7926 
137684.0259 254 -873 7900 
137838.8961 627 -495 7683 
137993.7663 367 -888 7884 
138148.6365 556 -703 7865 
138303.5067 318 -788 8032 
138458.3769 515 -673 7790 
138613.2471 474 -695 7858 
138768.1172 583 -673 7930 
138922.9874 508 -792 7763 
139077.8576 451 -814 7911 
139232.7278 605 -703 7884 
139387.598 417 -784 7869 
139542.4682 564 -755 7903 
139697.3384 560 -684 7884 
139852.2086 466 -758 8009 
140007.0788 515 -673 7790 
140161.949 533 -706 7945 
140316.8192 424 -692 7763 
140471.6894 412 -725 7998 
140626.5596 616 -521 7709 
140781.4298 416 -799 7918 
140936.3 375 -669 7816 
141091.1702 408 -710 7831 
141246.0404 469 -728 7854 
141400.9106 499 -651 7934 
141555.7808 515 -673 7790 
141710.651 319 -658 7884 
141865.5212 296 -799 7975 
142020.3914 602 -551 7679 
142175.2616 530 -810 7842 
142330.1317 466 -621 7876 
142485.0019 485 -784 7858 
142639.8721 477 -647 7694 
142794.7423 444 -747 7820 
142949.6125 628 -577 7713 
143104.4827 323 -806 7800 
143259.3529 495 -658 7770 
143414.2231 394 -732 7930 
143569.0933 506 -710 7804 
143723.9635 360 -995 8078 
143878.8337 616 -729 7907 
144033.7039 435 -640 7687 
144188.5741 514 -617 7820 
144343.4443 361 -799 8145 
144498.3145 538 -802 7887 
144653.1847 666 -754 7891 
144808.0549 342 -821 7842 
144962.9251 440 -643 7769 
145117.7953 530 -751 7879 
145272.6655 440 -755 7769 
145427.5357 428 -762 8008 
145582.4059 470 -736 7781 
145737.2761 556 -673 7902 
145892.1463 470 -658 7842 
146047.0164 327 -725 8006 
146201.8866 511 -725 7801 
146356.7568 357 -677 7877 
146511.627 485 -677 7987 
146666.4972 425 -777 7846 
146821.3674 477 -644 7641 
146976.2376 342 -755 7998 
147131.1078 556 -692 7854 
147285.978 556 -673 7902 
147440.8482 537 -788 7952 
147595.7184 386 -877 8055 
147750.5886 638 -599 7812 
147905.4588 514 -762 7972 
148060.329 469 -728 8048 
148215.1992 665 -510 7759 
148370.0694 495 -721 7762 
